n_samples,n_features,n_informative,n_redundant,n_repeated,n_classes,ncat,nbins,duration_desc,duration_tot
100000,20,10,5,5,10,0,20,1143.3344666957855,1208.3933157920837
100000,20,10,5,5,10,10,10,1120.0399191379547,1164.2638268470764
100000,20,10,5,5,10,10,20,1159.5627009868622,1227.7673189640045
100000,20,10,5,5,10,10,40,1156.671012878418,1265.6290278434753
100000,20,10,5,5,10,1,10,1147.7665829658508,1214.6765241622925
100000,20,10,5,5,10,1,20,1112.8766899108887,1182.3383419513702
100000,20,10,5,5,10,1,40,1285.8590109348297,1368.8278558254242
100000,20,10,5,5,10,5,10,1306.6370091438293,1369.8767082691193
100000,20,10,5,5,10,5,20,1307.6463298797607,1379.352012872696
100000,20,10,5,5,10,5,40,1219.4434747695923,1320.6381759643555
100000,40,10,5,5,10,0,20,16695.210973262787,16845.12351989746
